596
45, 242, 47
70, 244, 43
244, 70, 245
76, 246, 71
246, 76, 247
99, 247, 76
247, 99, 248
75, 248, 99
248, 75, 249
65, 250, 74
250, 65, 251
65, 252, 251
252, 65, 62
220, 119, 121
119, 220, 221
156, 125, 127
125, 156, 158
176, 21, 177
21, 176, 54
0, 253, 55
253, 0, 223
223, 0, 2
19, 95, 20
95, 19, 123
123, 19, 179
123, 179, 223
223, 179, 253
220, 123, 223
123, 220, 121
122, 106, 107
106, 122, 128
128, 122, 222
128, 222, 160
160, 222, 81
81, 222, 79
156, 128, 160
128, 156, 127
119, 222, 122
222, 119, 221
254, 255, 256
255, 254, 257
257, 254, 161
257, 161, 258
258, 161, 31
31, 161, 32
125, 161, 254
161, 125, 158
55, 179, 19
179, 55, 253
21, 55, 19
55, 21, 54
21, 175, 177
175, 21, 22
54, 253, 176
253, 54, 55
177, 253, 179
253, 177, 176
17, 254, 256
254, 17, 125
17, 255, 15
255, 17, 256
146, 255, 257
255, 146, 15
28, 258, 31
258, 28, 259
201, 259, 199
259, 201, 260
201, 149, 260
149, 201, 147
149, 259, 146
259, 149, 260
259, 257, 258
257, 259, 146
139, 261, 138
261, 139, 262
148, 15, 146
15, 148, 16
16, 148, 144
16, 144, 263
263, 144, 145
263, 145, 138
263, 138, 261
16, 263, 44
43, 264, 42
264, 43, 70
74, 62, 265
62, 74, 65
266, 267, 268
267, 266, 269
269, 266, 270
269, 270, 265
62, 269, 265
269, 62, 252
62, 237, 252
237, 62, 64
67, 271, 236
271, 67, 66
245, 269, 272
269, 245, 250
250, 245, 246
250, 246, 247
250, 247, 248
250, 248, 249
74, 249, 75
249, 74, 250
74, 269, 250
269, 74, 265
269, 264, 272
264, 269, 265
264, 245, 272
245, 264, 70
71, 245, 70
245, 71, 246
273, 274, 275
274, 276, 277
276, 274, 272
272, 274, 278
278, 274, 273
272, 278, 244
272, 244, 245
250, 252, 269
252, 250, 251
261, 243, 263
243, 261, 277
66, 238, 271
238, 66, 53
243, 44, 263
44, 243, 45
279, 261, 262
261, 279, 277
277, 279, 276
280, 276, 279
276, 280, 266
266, 280, 270
277, 242, 243
242, 277, 241
241, 277, 240
240, 277, 239
239, 277, 238
238, 277, 276
238, 276, 266
238, 266, 271
139, 279, 262
279, 139, 137
279, 137, 264
264, 137, 41
41, 137, 39
264, 41, 42
279, 272, 276
272, 279, 264
70, 265, 264
265, 70, 74
74, 70, 71
74, 71, 76
74, 76, 99
74, 99, 75
280, 53, 50
53, 280, 270
53, 270, 66
66, 270, 265
66, 265, 67
67, 265, 64
64, 265, 62
262, 45, 44
45, 262, 47
47, 262, 49
49, 262, 96
96, 262, 50
50, 262, 279
50, 279, 280
262, 263, 261
263, 262, 44
30, 259, 28
259, 30, 199
199, 30, 200
200, 30, 281
281, 30, 40
40, 30, 38
39, 281, 40
281, 39, 136
143, 196, 141
196, 143, 282
198, 196, 282
196, 198, 197
136, 200, 281
200, 136, 143
143, 136, 282
282, 136, 198
140, 200, 143
283, 268, 284
268, 283, 267
268, 276, 284
276, 268, 266
276, 283, 284
283, 276, 272
269, 283, 272
283, 269, 267
